  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
029750 99999 201201010050 280   3 ***  89 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   28   25 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201010150 310   3 ***  89 OVC * * *  7.0 ** ** ** ** ** ** ** ** *   27   25 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201010250 280   1 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   25   21 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201010350 200   1 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   21   21 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201010450 ***   0 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   21   21 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201010550 ***   0 *** 722 SCT * * *  7.0 ** ** ** ** ** ** ** ** *   21   21 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201010650 010   1 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   19   19 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201010750 ***   0 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   19   18 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201010850 340   1 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   21   19 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201010950 150   1 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   23   21 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201011050 020   1 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   25   23 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201011150 ***   0 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   27   23 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201011250 050   1 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   25   23 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201011350 100   1 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   23   21 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201011450 090   1 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   19   19 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201201011550 090   2 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   23   21 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
