  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
029740 99999 201708010000 238   5 *** 722 SCT * * * 12.5 03 ** ** ** ** ** ** ** 0   58   57 1012.5 ***** 1006.1 *** *** ***** ***** ***** *****  0 
029740 99999 201708010020 210   6 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   59   57 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708010050 210   5 *** 722 CLR * * *  6.2 12 ** ** ** ** ** ** ** *   59   57 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708010100 230   5 *** 722 CLR * * * 15.4 ** ** ** ** 00 ** ** ** *   58   57 1012.9 ***** 1006.4 *** *** ***** ***** ***** *****  0 
029740 99999 201708010120 220   5 *** 722 CLR * * *  6.2 12 ** ** ** ** ** ** ** *   59   57 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708010150 250   3 *** 722 CLR * * *  6.2 12 ** ** ** ** ** ** ** *   57   57 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708010200 261   4 *** 722 CLR * * * 13.3 ** ** ** ** 00 ** ** ** *   57   56 1013.2 ***** 1006.8 *** *** ***** ***** ***** *****  0 
029740 99999 201708010220 240   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   57   55 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708010250 990   3 *** 722 CLR * * *  6.2 12 ** ** ** ** ** ** ** *   57   57 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708010300 247   6 *** 722 SCT * * * 12.5 12 ** ** ** ** ** ** ** 0   57   57 1013.7 ***** 1007.3 *** *** ***** ***** ***** *****  0 
029740 99999 201708010320 240   5 *** 722 CLR * * *  6.2 12 ** ** ** ** ** ** ** *   59   57 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708010350 230   6 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   59   57 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
