  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
029750 99999 201304010020 ***   0 ***   6 BKN * * *  5.6 ** ** ** ** ** ** ** ** *   19   18 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010050 ***   0 ***   7 OVC * * *  5.6 ** ** ** ** ** ** ** ** *   21   19 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010120 ***   0 ***   9 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   21   19 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010150 ***   0 ***  10 BKN * * *  5.6 ** ** ** ** ** ** ** ** *   21   19 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010220 020   2 ***  13 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   23   23 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010250 060   1 ***  13 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   23   21 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010320 350   2 ***  11 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   23   21 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010350 350   2 ***  11 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   21   19 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010420 360   1 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   19   19 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010450 350   2 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   21   19 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010520 340   3 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   19   18 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010550 350   3 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   21   19 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010620 330   2 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   23   21 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010650 990   1 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   27   23 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010720 060   5 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   27   23 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010750 050   6 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   28   23 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010820 040   7 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   30   23 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010850 050   7 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   30   23 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010920 990   6 *** 197 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   32   23 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304010950 020   6 *** 197 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   32   23 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304011020 030   6 *** 157 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   32   23 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304011050 050   8 *** 157 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   32   23 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304011120 050   7 *** 157 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   34   23 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304011150 030   9 *** 157 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   34   21 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304011220 010   8 *** 157 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   34   21 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304011250 010   6 *** 157 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   36   21 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304011320 020   7 *** 157 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   36   21 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304011350 030   7 *** 197 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   36   21 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304011420 020   8 *** 197 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   36   21 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
029750 99999 201304011450 020   8 *** 197 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   36   21 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
