"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]","Relative humidity mean [%]","Gust speed mean [m/s]"
"Helsinki Kumpula","2024","6","1","00:00","19.3","69.6","1.9"
"Helsinki Kumpula","2024","6","1","01:00","18.9","72.5","2.7"
"Helsinki Kumpula","2024","6","1","02:00","19.7","67.4","4.3"
"Helsinki Kumpula","2024","6","1","03:00","19.4","69.2","5.4"
"Helsinki Kumpula","2024","6","1","04:00","18.5","73.6","4.5"
"Helsinki Kumpula","2024","6","1","05:00","18.5","74","3.5"
"Helsinki Kumpula","2024","6","1","06:00","18.4","77.5","4.1"
"Helsinki Kumpula","2024","6","1","07:00","20.2","72","3.5"
"Helsinki Kumpula","2024","6","1","08:00","21.6","67.5","4.1"
"Helsinki Kumpula","2024","6","1","09:00","23.1","62.5","4.4"
"Helsinki Kumpula","2024","6","1","10:00","24.2","59.2","5.2"
"Helsinki Kumpula","2024","6","1","11:00","25.4","52.9","5.5"
"Helsinki Kumpula","2024","6","1","12:00","26.2","50.9","5.3"
"Helsinki Kumpula","2024","6","1","13:00","24.9","59.3","5.1"
"Helsinki Kumpula","2024","6","1","14:00","24.9","58.8","6.7"
"Helsinki Kumpula","2024","6","1","15:00","24.9","57.4","8"
"Helsinki Kumpula","2024","6","1","16:00","23.1","64.6","7.3"
"Helsinki Kumpula","2024","6","1","17:00","24.2","57.3","5.9"
"Helsinki Kumpula","2024","6","1","18:00","24.4","54.4","6"
"Helsinki Kumpula","2024","6","1","19:00","23","62","5.1"
"Helsinki Kumpula","2024","6","1","20:00","21.8","69.3","3.4"
"Helsinki Kumpula","2024","6","1","21:00","21.6","69.9","2.4"
"Helsinki Kumpula","2024","6","1","22:00","22","67.2","3.2"
"Helsinki Kumpula","2024","6","1","23:00","21.9","65.7","3"
"Helsinki Kumpula","2024","6","2","00:00","21.3","72.6","4.6"
"Helsinki Kumpula","2024","6","2","01:00","19.4","77.6","6.1"
"Helsinki Kumpula","2024","6","2","02:00","18.8","81.5","3.9"
"Helsinki Kumpula","2024","6","2","03:00","17.9","90.8","2.6"
"Helsinki Kumpula","2024","6","2","04:00","17.1","97.4","1.4"
"Helsinki Kumpula","2024","6","2","05:00","17.5","95.7","2.3"
"Helsinki Kumpula","2024","6","2","06:00","17.5","97.1","1.2"
"Helsinki Kumpula","2024","6","2","07:00","19.3","89.7","1.8"
"Helsinki Kumpula","2024","6","2","08:00","20.3","78.7","2.6"
"Helsinki Kumpula","2024","6","2","09:00","21.1","70.5","3.2"
"Helsinki Kumpula","2024","6","2","10:00","20.7","72.1","3.3"
"Helsinki Kumpula","2024","6","2","11:00","21.3","70","2.2"
"Helsinki Kumpula","2024","6","2","12:00","21.9","69.6","2.6"
"Helsinki Kumpula","2024","6","2","13:00","22.6","65.5","3.1"
"Helsinki Kumpula","2024","6","2","14:00","23.7","56.8","3.9"
"Helsinki Kumpula","2024","6","2","15:00","24.5","56.9","5.8"
"Helsinki Kumpula","2024","6","2","16:00","24.1","53.5","6.2"
"Helsinki Kumpula","2024","6","2","17:00","23.9","56","5.4"
"Helsinki Kumpula","2024","6","2","18:00","23.7","55","5.3"
"Helsinki Kumpula","2024","6","2","19:00","23.4","51.2","4.3"
"Helsinki Kumpula","2024","6","2","20:00","22","64.3","3.3"
"Helsinki Kumpula","2024","6","2","21:00","21","69.8","2.7"
"Helsinki Kumpula","2024","6","2","22:00","20.2","78.1","3.7"
"Helsinki Kumpula","2024","6","2","23:00","18.9","83.4","2.1"
"Helsinki Kumpula","2024","6","3","00:00","18.1","89.2","1.2"
"Helsinki Kumpula","2024","6","3","01:00","17.2","93.9","1.8"
"Helsinki Kumpula","2024","6","3","02:00","16.3","95.1","2.9"
"Helsinki Kumpula","2024","6","3","03:00","15.6","96.1","3.4"
"Helsinki Kumpula","2024","6","3","04:00","15.5","97","3.1"
"Helsinki Kumpula","2024","6","3","05:00","15.2","98.4","2.7"
"Helsinki Kumpula","2024","6","3","06:00","16.2","93.6","3"
"Helsinki Kumpula","2024","6","3","07:00","18","84.2","2.7"
"Helsinki Kumpula","2024","6","3","08:00","19.6","76.6","3.2"
