"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]","Relative humidity mean [%]","Gust speed mean [m/s]"
"Lappeenranta airport","2024","6","1","00:00","17.6","73.1","1.4"
"Lappeenranta airport","2024","6","1","01:00","17.2","72.1","2.1"
"Lappeenranta airport","2024","6","1","02:00","16.9","70.9","2.4"
"Lappeenranta airport","2024","6","1","03:00","17","71.3","2.6"
"Lappeenranta airport","2024","6","1","04:00","15.6","77.5","1.9"
"Lappeenranta airport","2024","6","1","05:00","14.9","80.6","2.3"
"Lappeenranta airport","2024","6","1","06:00","17.6","69.2","2.3"
"Lappeenranta airport","2024","6","1","07:00","19.7","61.7","3"
"Lappeenranta airport","2024","6","1","08:00","20.2","59.6","4.5"
"Lappeenranta airport","2024","6","1","09:00","20.6","63.2","3.8"
"Lappeenranta airport","2024","6","1","10:00","21.8","63.8","3.6"
"Lappeenranta airport","2024","6","1","11:00","23.5","59.3","3.7"
"Lappeenranta airport","2024","6","1","12:00","25","52.5","5.1"
"Lappeenranta airport","2024","6","1","13:00","26","48.7","6"
"Lappeenranta airport","2024","6","1","14:00","27","44.3","6.7"
"Lappeenranta airport","2024","6","1","15:00","25.3","47.6","6.8"
"Lappeenranta airport","2024","6","1","16:00","24.9","54.6","4.2"
"Lappeenranta airport","2024","6","1","17:00","26.5","45.9","4.9"
"Lappeenranta airport","2024","6","1","18:00","26.5","48.3","5.6"
"Lappeenranta airport","2024","6","1","19:00","26.3","47.4","3.9"
"Lappeenranta airport","2024","6","1","20:00","25.5","45.3","2.5"
"Lappeenranta airport","2024","6","1","21:00","24.4","50.3","1.9"
"Lappeenranta airport","2024","6","1","22:00","21.9","59.8","0.8"
"Lappeenranta airport","2024","6","1","23:00","19.6","70.9","1.9"
"Lappeenranta airport","2024","6","2","00:00","20.6","71.3","4.2"
"Lappeenranta airport","2024","6","2","01:00","20.2","73.9","3.6"
"Lappeenranta airport","2024","6","2","02:00","18.5","85.9","1.8"
"Lappeenranta airport","2024","6","2","03:00","17.7","88.8","2.6"
"Lappeenranta airport","2024","6","2","04:00","17.9","87.8","3.3"
"Lappeenranta airport","2024","6","2","05:00","17.8","87.6","2.9"
"Lappeenranta airport","2024","6","2","06:00","18","86.7","3.2"
"Lappeenranta airport","2024","6","2","07:00","18.7","85","3.4"
"Lappeenranta airport","2024","6","2","08:00","20","81.3","3.7"
"Lappeenranta airport","2024","6","2","09:00","20.8","76.6","3.7"
"Lappeenranta airport","2024","6","2","10:00","20.9","77","3"
"Lappeenranta airport","2024","6","2","11:00","21.3","74.7","2.8"
"Lappeenranta airport","2024","6","2","12:00","22","70.7","3.3"
"Lappeenranta airport","2024","6","2","13:00","23.5","60.6","2.6"
"Lappeenranta airport","2024","6","2","14:00","24.3","56","4.3"
"Lappeenranta airport","2024","6","2","15:00","23.4","62.4","3.7"
"Lappeenranta airport","2024","6","2","16:00","23.9","61.1","7"
"Lappeenranta airport","2024","6","2","17:00","24.7","52.3","8.2"
"Lappeenranta airport","2024","6","2","18:00","22.9","58","5.7"
"Lappeenranta airport","2024","6","2","19:00","20","71.8","6.1"
"Lappeenranta airport","2024","6","2","20:00","20.3","71.3","5.6"
"Lappeenranta airport","2024","6","2","21:00","20.2","71.7","4"
"Lappeenranta airport","2024","6","2","22:00","18.9","78","1.5"
"Lappeenranta airport","2024","6","2","23:00","16.8","87.2","1"
"Lappeenranta airport","2024","6","3","00:00","15.8","91.7","1.3"
"Lappeenranta airport","2024","6","3","01:00","15.5","90.9","1.2"
"Lappeenranta airport","2024","6","3","02:00","14.2","96.7","1.5"
"Lappeenranta airport","2024","6","3","03:00","14.1","96.3","1"
"Lappeenranta airport","2024","6","3","04:00","14.1","97.5","1.2"
"Lappeenranta airport","2024","6","3","05:00","14.3","98","1"
"Lappeenranta airport","2024","6","3","06:00","15.4","92.9","0.9"
