"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]","Relative humidity mean [%]","Gust speed mean [m/s]"
"Oulu Vihreäsaari harbour","2024","6","1","00:00","19.4","78.9","2.5"
"Oulu Vihreäsaari harbour","2024","6","1","01:00","19.7","72.3","3.2"
"Oulu Vihreäsaari harbour","2024","6","1","02:00","18.8","74.3","3.2"
"Oulu Vihreäsaari harbour","2024","6","1","03:00","18.1","76.8","2.3"
"Oulu Vihreäsaari harbour","2024","6","1","04:00","17.3","79.2","2.4"
"Oulu Vihreäsaari harbour","2024","6","1","05:00","16.8","80.3","2.8"
"Oulu Vihreäsaari harbour","2024","6","1","06:00","16.8","81.1","3.2"
"Oulu Vihreäsaari harbour","2024","6","1","07:00","16.8","83.8","3.4"
"Oulu Vihreäsaari harbour","2024","6","1","08:00","17.3","84.9","2.5"
"Oulu Vihreäsaari harbour","2024","6","1","09:00","18.3","81.6","2.5"
"Oulu Vihreäsaari harbour","2024","6","1","10:00","20","72.8","1.7"
"Oulu Vihreäsaari harbour","2024","6","1","11:00","19.7","77.7","1.7"
"Oulu Vihreäsaari harbour","2024","6","1","12:00","19.2","88.9","2.3"
"Oulu Vihreäsaari harbour","2024","6","1","13:00","21","79.7","2.2"
"Oulu Vihreäsaari harbour","2024","6","1","14:00","21","79.1","4.5"
"Oulu Vihreäsaari harbour","2024","6","1","15:00","19.6","87.3","5.9"
"Oulu Vihreäsaari harbour","2024","6","1","16:00","18.9","79.2","8.6"
"Oulu Vihreäsaari harbour","2024","6","1","17:00","18.5","76","7.2"
"Oulu Vihreäsaari harbour","2024","6","1","18:00","19","72.3","6.1"
"Oulu Vihreäsaari harbour","2024","6","1","19:00","19.1","75.4","4.6"
"Oulu Vihreäsaari harbour","2024","6","1","20:00","19.6","71.9","3"
"Oulu Vihreäsaari harbour","2024","6","1","21:00","19.5","73.8","3.3"
"Oulu Vihreäsaari harbour","2024","6","1","22:00","19.5","76.3","2.8"
"Oulu Vihreäsaari harbour","2024","6","1","23:00","18.9","78.4","2.5"
"Oulu Vihreäsaari harbour","2024","6","2","00:00","18.7","76.2","2.8"
"Oulu Vihreäsaari harbour","2024","6","2","01:00","18.4","77.3","4"
"Oulu Vihreäsaari harbour","2024","6","2","02:00","17.4","73.8","3.4"
"Oulu Vihreäsaari harbour","2024","6","2","03:00","16.5","76.6","2.9"
"Oulu Vihreäsaari harbour","2024","6","2","04:00","16.6","78.7","1.2"
"Oulu Vihreäsaari harbour","2024","6","2","05:00","16.2","77","1.8"
"Oulu Vihreäsaari harbour","2024","6","2","06:00","17.2","74.1","1.3"
"Oulu Vihreäsaari harbour","2024","6","2","07:00","17.2","82.9","2.3"
"Oulu Vihreäsaari harbour","2024","6","2","08:00","17.9","78.9","1.4"
"Oulu Vihreäsaari harbour","2024","6","2","09:00","17.9","77.9","1.8"
"Oulu Vihreäsaari harbour","2024","6","2","10:00","18.3","73.2","1.4"
"Oulu Vihreäsaari harbour","2024","6","2","11:00","18.3","77.3","3.6"
"Oulu Vihreäsaari harbour","2024","6","2","12:00","18","81.8","4"
"Oulu Vihreäsaari harbour","2024","6","2","13:00","17.5","78.1","3.4"
"Oulu Vihreäsaari harbour","2024","6","2","14:00","18","74.9","2.8"
"Oulu Vihreäsaari harbour","2024","6","2","15:00","18.4","74.7","3.6"
"Oulu Vihreäsaari harbour","2024","6","2","16:00","18.2","79.9","2.8"
"Oulu Vihreäsaari harbour","2024","6","2","17:00","17.1","83.9","5.9"
"Oulu Vihreäsaari harbour","2024","6","2","18:00","17.6","77.2","3.4"
"Oulu Vihreäsaari harbour","2024","6","2","19:00","18.4","74.2","2.8"
"Oulu Vihreäsaari harbour","2024","6","2","20:00","18.8","74.7","3.5"
"Oulu Vihreäsaari harbour","2024","6","2","21:00","19.5","68.2","2.7"
"Oulu Vihreäsaari harbour","2024","6","2","22:00","19.1","68.8","3.8"
"Oulu Vihreäsaari harbour","2024","6","2","23:00","18","66.4","4.1"
"Oulu Vihreäsaari harbour","2024","6","3","00:00","17.2","70.8","3"
"Oulu Vihreäsaari harbour","2024","6","3","01:00","16.5","73.2","4.7"
"Oulu Vihreäsaari harbour","2024","6","3","02:00","15.3","77.2","4.1"
"Oulu Vihreäsaari harbour","2024","6","3","03:00","14.4","78.7","3.9"
"Oulu Vihreäsaari harbour","2024","6","3","04:00","14.3","80.8","3.8"
"Oulu Vihreäsaari harbour","2024","6","3","05:00","14.6","81.1","3.5"
"Oulu Vihreäsaari harbour","2024","6","3","06:00","15.1","79.7","3.8"
"Oulu Vihreäsaari harbour","2024","6","3","07:00","15.4","80.2","1.9"
"Oulu Vihreäsaari harbour","2024","6","3","08:00","16.2","77.6","1.1"
"Oulu Vihreäsaari harbour","2024","6","3","09:00","16.8","78.1","1"
"Oulu Vihreäsaari harbour","2024","6","3","10:00","16.8","82.5","2"
"Oulu Vihreäsaari harbour","2024","6","3","11:00","17.3","84.4","3.7"
"Oulu Vihreäsaari harbour","2024","6","3","12:00","17.8","83.5","3.6"
"Oulu Vihreäsaari harbour","2024","6","3","13:00","18","82.8","4.4"
"Oulu Vihreäsaari harbour","2024","6","3","14:00","18.6","66.8","5"
"Oulu Vihreäsaari harbour","2024","6","3","15:00","18.6","61.5","6.5"
"Oulu Vihreäsaari harbour","2024","6","3","16:00","17.5","72.1","5.5"
"Oulu Vihreäsaari harbour","2024","6","3","17:00","17.7","71","4.4"
"Oulu Vihreäsaari harbour","2024","6","3","18:00","17.6","73.5","4.7"
"Oulu Vihreäsaari harbour","2024","6","3","19:00","17.7","69.4","3.6"
"Oulu Vihreäsaari harbour","2024","6","3","20:00","18.3","63.9","3.4"
"Oulu Vihreäsaari harbour","2024","6","3","21:00","18.8","62.4","2.9"
"Oulu Vihreäsaari harbour","2024","6","3","22:00","19.2","63.4","3.2"
"Oulu Vihreäsaari harbour","2024","6","3","23:00","19","54","3"
"Oulu Vihreäsaari harbour","2024","6","4","00:00","18.1","55.9","3"
"Oulu Vihreäsaari harbour","2024","6","4","01:00","17.4","58.3","4.3"
"Oulu Vihreäsaari harbour","2024","6","4","02:00","17.9","54.7","4.9"
"Oulu Vihreäsaari harbour","2024","6","4","03:00","17.8","60","9"
"Oulu Vihreäsaari harbour","2024","6","4","04:00","17.3","69","8.6"
"Oulu Vihreäsaari harbour","2024","6","4","05:00","16.2","82.9","3.2"
"Oulu Vihreäsaari harbour","2024","6","4","06:00","15.3","89.9","3.2"
"Oulu Vihreäsaari harbour","2024","6","4","07:00","15.7","84.2","3.7"
"Oulu Vihreäsaari harbour","2024","6","4","08:00","16","82.7","4.5"
"Oulu Vihreäsaari harbour","2024","6","4","09:00","15.4","90.1","4.1"
"Oulu Vihreäsaari harbour","2024","6","4","10:00","16.1","84.4","0.9"
"Oulu Vihreäsaari harbour","2024","6","4","11:00","16.3","83.5","2.5"
"Oulu Vihreäsaari harbour","2024","6","4","12:00","16.5","81.6","3.4"
"Oulu Vihreäsaari harbour","2024","6","4","13:00","16.4","83.6","4.2"
"Oulu Vihreäsaari harbour","2024","6","4","14:00","16.2","86.6","4.7"
"Oulu Vihreäsaari harbour","2024","6","4","15:00","15","88.9","5.5"
"Oulu Vihreäsaari harbour","2024","6","4","16:00","14.9","88.2","6.8"
"Oulu Vihreäsaari harbour","2024","6","4","17:00","14.9","81.9","7.9"
"Oulu Vihreäsaari harbour","2024","6","4","18:00","15.6","68.3","8.3"
"Oulu Vihreäsaari harbour","2024","6","4","19:00","16.5","59.7","7.3"
"Oulu Vihreäsaari harbour","2024","6","4","20:00","16.2","65.6","7"
"Oulu Vihreäsaari harbour","2024","6","4","21:00","15.6","67.4","9.4"
"Oulu Vihreäsaari harbour","2024","6","4","22:00","15.1","66.7","10.3"
"Oulu Vihreäsaari harbour","2024","6","4","23:00","14.9","67.3","8.8"
"Oulu Vihreäsaari harbour","2024","6","5","00:00","14.8","69","6.5"
"Oulu Vihreäsaari harbour","2024","6","5","01:00","14.7","68.6","4.1"
"Oulu Vihreäsaari harbour","2024","6","5","02:00","14.2","74.2","3.4"
"Oulu Vihreäsaari harbour","2024","6","5","03:00","13.4","80.5","3.5"
"Oulu Vihreäsaari harbour","2024","6","5","04:00","12.8","82.4","3.2"
"Oulu Vihreäsaari harbour","2024","6","5","05:00","12.2","86.6","3.5"
"Oulu Vihreäsaari harbour","2024","6","5","06:00","11.7","86.1","2.8"
"Oulu Vihreäsaari harbour","2024","6","5","07:00","12","83.6","3.6"
"Oulu Vihreäsaari harbour","2024","6","5","08:00","13.2","78.3","2.9"
"Oulu Vihreäsaari harbour","2024","6","5","09:00","15","72","1.6"
"Oulu Vihreäsaari harbour","2024","6","5","10:00","16.2","71.3","1.8"
"Oulu Vihreäsaari harbour","2024","6","5","11:00","17.6","62.5","2.1"
"Oulu Vihreäsaari harbour","2024","6","5","12:00","19.5","50.8","3.4"
"Oulu Vihreäsaari harbour","2024","6","5","13:00","21.5","43.8","6.9"
"Oulu Vihreäsaari harbour","2024","6","5","14:00","21.9","42.9","7.6"
"Oulu Vihreäsaari harbour","2024","6","5","15:00","22.4","42.4","8.3"
"Oulu Vihreäsaari harbour","2024","6","5","16:00","22.5","42.9","7.9"
"Oulu Vihreäsaari harbour","2024","6","5","17:00","22.6","38.4","8.3"
"Oulu Vihreäsaari harbour","2024","6","5","18:00","23.5","31.4","7.6"
"Oulu Vihreäsaari harbour","2024","6","5","19:00","24","33","7.4"
"Oulu Vihreäsaari harbour","2024","6","5","20:00","23.5","36.4","5.6"
"Oulu Vihreäsaari harbour","2024","6","5","21:00","23.7","30.2","4.9"
"Oulu Vihreäsaari harbour","2024","6","5","22:00","23.6","31.8","6.4"
"Oulu Vihreäsaari harbour","2024","6","5","23:00","22.8","33.6","7.2"
"Oulu Vihreäsaari harbour","2024","6","6","00:00","21.6","35.9","8.6"
"Oulu Vihreäsaari harbour","2024","6","6","01:00","20.8","37.8","9.3"
"Oulu Vihreäsaari harbour","2024","6","6","02:00","19.4","52.8","9.9"
"Oulu Vihreäsaari harbour","2024","6","6","03:00","16.2","75.7","5.4"
"Oulu Vihreäsaari harbour","2024","6","6","04:00","16.3","72.2","4.9"
"Oulu Vihreäsaari harbour","2024","6","6","05:00","16.2","68.2","2.8"
"Oulu Vihreäsaari harbour","2024","6","6","06:00","16.3","66.8","2.5"
"Oulu Vihreäsaari harbour","2024","6","6","07:00","16.6","69","1.2"
"Oulu Vihreäsaari harbour","2024","6","6","08:00","16.5","69.1","1.7"
"Oulu Vihreäsaari harbour","2024","6","6","09:00","16.8","67.8","1.6"
"Oulu Vihreäsaari harbour","2024","6","6","10:00","16.9","68.3","1.9"
"Oulu Vihreäsaari harbour","2024","6","6","11:00","17.2","67.1","2.5"
"Oulu Vihreäsaari harbour","2024","6","6","12:00","17.8","64.3","2.7"
"Oulu Vihreäsaari harbour","2024","6","6","13:00","18.3","64","3.3"
"Oulu Vihreäsaari harbour","2024","6","6","14:00","18","71","6"
"Oulu Vihreäsaari harbour","2024","6","6","15:00","17.8","72.8","7.2"
"Oulu Vihreäsaari harbour","2024","6","6","16:00","17.7","74.6","7.7"
"Oulu Vihreäsaari harbour","2024","6","6","17:00","18.2","71.8","7.6"
"Oulu Vihreäsaari harbour","2024","6","6","18:00","17.7","73.9","8.5"
"Oulu Vihreäsaari harbour","2024","6","6","19:00","15","75.4","16.1"
"Oulu Vihreäsaari harbour","2024","6","6","20:00","14.8","73.2","10.5"
"Oulu Vihreäsaari harbour","2024","6","6","21:00","13.3","85.7","11.2"
"Oulu Vihreäsaari harbour","2024","6","6","22:00","12.5","86.4","8.6"
"Oulu Vihreäsaari harbour","2024","6","6","23:00","12.1","85.2","5.4"
"Oulu Vihreäsaari harbour","2024","6","7","00:00","12.3","83.7","5"
"Oulu Vihreäsaari harbour","2024","6","7","01:00","12.4","83.5","4.8"
"Oulu Vihreäsaari harbour","2024","6","7","02:00","12.5","85.4","4.9"
"Oulu Vihreäsaari harbour","2024","6","7","03:00","12.1","89.6","5.3"
"Oulu Vihreäsaari harbour","2024","6","7","04:00","11.9","92.8","5.7"
"Oulu Vihreäsaari harbour","2024","6","7","05:00","11.7","93","5.6"
"Oulu Vihreäsaari harbour","2024","6","7","06:00","11.7","91.4","5.3"
"Oulu Vihreäsaari harbour","2024","6","7","07:00","11.7","89.1","5.1"
"Oulu Vihreäsaari harbour","2024","6","7","08:00","12","82.7","5.1"
"Oulu Vihreäsaari harbour","2024","6","7","09:00","12.1","77.4","4.9"
"Oulu Vihreäsaari harbour","2024","6","7","10:00","12.9","73.2","3.9"
"Oulu Vihreäsaari harbour","2024","6","7","11:00","13.9","72.5","5.2"
"Oulu Vihreäsaari harbour","2024","6","7","12:00","14.2","72.9","7.3"
"Oulu Vihreäsaari harbour","2024","6","7","13:00","14.4","73.2","8.4"
"Oulu Vihreäsaari harbour","2024","6","7","14:00","14.7","66","7.9"
"Oulu Vihreäsaari harbour","2024","6","7","15:00","15.2","54.1","7.4"
"Oulu Vihreäsaari harbour","2024","6","7","16:00","15.4","51.4","6.7"
"Oulu Vihreäsaari harbour","2024","6","7","17:00","15.3","53.7","7.7"
"Oulu Vihreäsaari harbour","2024","6","7","18:00","15.6","50.9","7.4"
"Oulu Vihreäsaari harbour","2024","6","7","19:00","15.7","51.6","6.7"
"Oulu Vihreäsaari harbour","2024","6","7","20:00","15.7","50.4","6.6"
"Oulu Vihreäsaari harbour","2024","6","7","21:00","15.2","55.9","5.6"
"Oulu Vihreäsaari harbour","2024","6","7","22:00","14.8","62.6","4.9"
"Oulu Vihreäsaari harbour","2024","6","7","23:00","15","58.4","5.7"
"Oulu Vihreäsaari harbour","2024","6","8","00:00","14.1","65.1","5.7"
"Oulu Vihreäsaari harbour","2024","6","8","01:00","13.7","67.7","4.5"
"Oulu Vihreäsaari harbour","2024","6","8","02:00","13.3","68","3.1"
"Oulu Vihreäsaari harbour","2024","6","8","03:00","13","68.4","4.4"
"Oulu Vihreäsaari harbour","2024","6","8","04:00","12.5","73.7","3.7"
"Oulu Vihreäsaari harbour","2024","6","8","05:00","11.9","79.3","4.6"
"Oulu Vihreäsaari harbour","2024","6","8","06:00","11.8","79.7","4.6"
"Oulu Vihreäsaari harbour","2024","6","8","07:00","12.1","73.3","4.7"
"Oulu Vihreäsaari harbour","2024","6","8","08:00","12.7","65.1","4.6"
"Oulu Vihreäsaari harbour","2024","6","8","09:00","13","62.3","3.6"
"Oulu Vihreäsaari harbour","2024","6","8","10:00","14.3","56.7","2.2"
"Oulu Vihreäsaari harbour","2024","6","8","11:00","14.2","55.9","2.4"
"Oulu Vihreäsaari harbour","2024","6","8","12:00","14.3","59.2","3.7"
"Oulu Vihreäsaari harbour","2024","6","8","13:00","14.6","58.9","5.1"
"Oulu Vihreäsaari harbour","2024","6","8","14:00","14.2","64.8","6.8"
"Oulu Vihreäsaari harbour","2024","6","8","15:00","14.4","66","5.6"
"Oulu Vihreäsaari harbour","2024","6","8","16:00","14.9","58.7","4.2"
"Oulu Vihreäsaari harbour","2024","6","8","17:00","14.9","64.1","4.4"
"Oulu Vihreäsaari harbour","2024","6","8","18:00","15.3","60.6","5.6"
