"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]","Relative humidity mean [%]","Gust speed mean [m/s]"
"Porvoo Emäsalo","2024","6","1","00:00","22","57.5","5.3"
"Porvoo Emäsalo","2024","6","1","01:00","21.3","64.4","6.7"
"Porvoo Emäsalo","2024","6","1","02:00","20.7","70.2","6.6"
"Porvoo Emäsalo","2024","6","1","03:00","20.2","75.8","7.5"
"Porvoo Emäsalo","2024","6","1","04:00","19.9","83.2","5.9"
"Porvoo Emäsalo","2024","6","1","05:00","19.5","83.7","5.2"
"Porvoo Emäsalo","2024","6","1","06:00","19.6","82","6.3"
"Porvoo Emäsalo","2024","6","1","07:00","20.3","80.6","5.2"
"Porvoo Emäsalo","2024","6","1","08:00","21.3","76.4","6.2"
"Porvoo Emäsalo","2024","6","1","09:00","22.4","68.9","6.4"
"Porvoo Emäsalo","2024","6","1","10:00","22.1","71.1","6.2"
"Porvoo Emäsalo","2024","6","1","11:00","22.4","68.8","6"
"Porvoo Emäsalo","2024","6","1","12:00","22.1","71.2","5.4"
"Porvoo Emäsalo","2024","6","1","13:00","21.8","76.1","6.8"
"Porvoo Emäsalo","2024","6","1","14:00","23.1","68","6.7"
"Porvoo Emäsalo","2024","6","1","15:00","22","75.4","8.5"
"Porvoo Emäsalo","2024","6","1","16:00","22.1","73.8","7.4"
"Porvoo Emäsalo","2024","6","1","17:00","22.7","69.6","7.2"
"Porvoo Emäsalo","2024","6","1","18:00","22.4","70.2","8.1"
"Porvoo Emäsalo","2024","6","1","19:00","22.9","68.8","5.4"
"Porvoo Emäsalo","2024","6","1","20:00","22.5","68.3","4.7"
"Porvoo Emäsalo","2024","6","1","21:00","22.2","72.6","4.3"
"Porvoo Emäsalo","2024","6","1","22:00","21.7","75","3.9"
"Porvoo Emäsalo","2024","6","1","23:00","21.1","77.3","4.9"
"Porvoo Emäsalo","2024","6","2","00:00","20","81.3","6.7"
"Porvoo Emäsalo","2024","6","2","01:00","18.8","84","4.6"
"Porvoo Emäsalo","2024","6","2","02:00","17.6","92.8","4.8"
"Porvoo Emäsalo","2024","6","2","03:00","17.7","92.5","3.3"
"Porvoo Emäsalo","2024","6","2","04:00","17.2","93.4","2.5"
"Porvoo Emäsalo","2024","6","2","05:00","17.2","91.1","1.5"
"Porvoo Emäsalo","2024","6","2","06:00","17.9","90.7","1.8"
"Porvoo Emäsalo","2024","6","2","07:00","19.3","83.4","1.8"
"Porvoo Emäsalo","2024","6","2","08:00","19.6","83.1","2.1"
"Porvoo Emäsalo","2024","6","2","09:00","19.3","84.6","1.9"
"Porvoo Emäsalo","2024","6","2","10:00","19.9","81.4","2.1"
"Porvoo Emäsalo","2024","6","2","11:00","20.7","76.4","2.4"
"Porvoo Emäsalo","2024","6","2","12:00","21.3","73.5","3.1"
"Porvoo Emäsalo","2024","6","2","13:00","21.6","70.9","3.3"
"Porvoo Emäsalo","2024","6","2","14:00","21.8","68.9","4"
"Porvoo Emäsalo","2024","6","2","15:00","21.9","66.6","3.4"
"Porvoo Emäsalo","2024","6","2","16:00","22.3","64.9","3.8"
"Porvoo Emäsalo","2024","6","2","17:00","22.2","67.9","3.7"
"Porvoo Emäsalo","2024","6","2","18:00","21.9","69","3"
"Porvoo Emäsalo","2024","6","2","19:00","21.8","69.3","3.2"
"Porvoo Emäsalo","2024","6","2","20:00","21.5","69.3","2.8"
"Porvoo Emäsalo","2024","6","2","21:00","21","72.8","2.8"
"Porvoo Emäsalo","2024","6","2","22:00","20.4","76.6","3.1"
"Porvoo Emäsalo","2024","6","2","23:00","20","80.7","3.1"
"Porvoo Emäsalo","2024","6","3","00:00","19.6","78.9","3.3"
"Porvoo Emäsalo","2024","6","3","01:00","19.1","84.5","3.2"
"Porvoo Emäsalo","2024","6","3","02:00","18.8","87.6","4.1"
"Porvoo Emäsalo","2024","6","3","03:00","17.8","90.1","4.5"
"Porvoo Emäsalo","2024","6","3","04:00","16.9","93.3","4.7"
"Porvoo Emäsalo","2024","6","3","05:00","16.9","90.9","6"
"Porvoo Emäsalo","2024","6","3","06:00","17.3","88.4","6.1"
"Porvoo Emäsalo","2024","6","3","07:00","18.5","83.6","4.2"
"Porvoo Emäsalo","2024","6","3","08:00","19.5","79.6","2"
"Porvoo Emäsalo","2024","6","3","09:00","19.6","79.4","3.3"
"Porvoo Emäsalo","2024","6","3","10:00","20.6","72.7","2.6"
"Porvoo Emäsalo","2024","6","3","11:00","21.4","72.5","3.5"
"Porvoo Emäsalo","2024","6","3","12:00","21.7","72.2","4.5"
"Porvoo Emäsalo","2024","6","3","13:00","22.1","71.9","5.1"
"Porvoo Emäsalo","2024","6","3","14:00","22.7","68.8","5.9"
"Porvoo Emäsalo","2024","6","3","15:00","23.1","66.8","7.3"
"Porvoo Emäsalo","2024","6","3","16:00","23.2","64.2","8.3"
"Porvoo Emäsalo","2024","6","3","17:00","23.1","68.4","8.3"
"Porvoo Emäsalo","2024","6","3","18:00","22.8","71","7.6"
"Porvoo Emäsalo","2024","6","3","19:00","22.3","73.1","7"
"Porvoo Emäsalo","2024","6","3","20:00","22.6","70.5","8.2"
"Porvoo Emäsalo","2024","6","3","21:00","21.2","81.4","8.8"
"Porvoo Emäsalo","2024","6","3","22:00","20.3","86.3","9.6"
"Porvoo Emäsalo","2024","6","3","23:00","20","88.5","7.4"
"Porvoo Emäsalo","2024","6","4","00:00","20","88.2","6"
"Porvoo Emäsalo","2024","6","4","01:00","20","85.1","6.5"
"Porvoo Emäsalo","2024","6","4","02:00","20","69.7","8.4"
"Porvoo Emäsalo","2024","6","4","03:00","19.5","69.1","8.8"
"Porvoo Emäsalo","2024","6","4","04:00","19.1","73.4","7.1"
"Porvoo Emäsalo","2024","6","4","05:00","18.7","77.6","6.8"
"Porvoo Emäsalo","2024","6","4","06:00","18.5","86.3","8.1"
"Porvoo Emäsalo","2024","6","4","07:00","18.3","87.9","9"
"Porvoo Emäsalo","2024","6","4","08:00","17.7","91","9.5"
"Porvoo Emäsalo","2024","6","4","09:00","17.9","90.2","10.2"
"Porvoo Emäsalo","2024","6","4","10:00","18.3","88","11.3"
"Porvoo Emäsalo","2024","6","4","11:00","18.6","85.4","10.3"
"Porvoo Emäsalo","2024","6","4","12:00","19.2","82.6","9.2"
"Porvoo Emäsalo","2024","6","4","13:00","20.1","80.5","9.6"
"Porvoo Emäsalo","2024","6","4","14:00","20.6","73.5","11.9"
"Porvoo Emäsalo","2024","6","4","15:00","20.3","70.5","15.9"
"Porvoo Emäsalo","2024","6","4","16:00","20.2","70.8","15.4"
"Porvoo Emäsalo","2024","6","4","17:00","20","70.8","14.1"
"Porvoo Emäsalo","2024","6","4","18:00","19.6","71.8","13.8"
"Porvoo Emäsalo","2024","6","4","19:00","18.9","75.5","13.8"
"Porvoo Emäsalo","2024","6","4","20:00","18.5","81.4","12.1"
"Porvoo Emäsalo","2024","6","4","21:00","18.4","81.3","10.3"
"Porvoo Emäsalo","2024","6","4","22:00","18.3","82.1","7.8"
"Porvoo Emäsalo","2024","6","4","23:00","18.1","83.7","5.9"
"Porvoo Emäsalo","2024","6","5","00:00","18.2","81.2","5.5"
"Porvoo Emäsalo","2024","6","5","01:00","17.9","81.6","4.6"
"Porvoo Emäsalo","2024","6","5","02:00","17.7","80.3","4"
"Porvoo Emäsalo","2024","6","5","03:00","17.6","75.4","3.7"
"Porvoo Emäsalo","2024","6","5","04:00","17","77.3","4.1"
"Porvoo Emäsalo","2024","6","5","05:00","16.6","75","4.1"
"Porvoo Emäsalo","2024","6","5","06:00","16.6","70.7","3.6"
"Porvoo Emäsalo","2024","6","5","07:00","16.9","68.6","3.8"
"Porvoo Emäsalo","2024","6","5","08:00","17.5","65.4","3.3"
"Porvoo Emäsalo","2024","6","5","09:00","17.9","65.7","2.4"
"Porvoo Emäsalo","2024","6","5","10:00","18.8","61.6","4.3"
"Porvoo Emäsalo","2024","6","5","11:00","18.6","63.2","6.4"
"Porvoo Emäsalo","2024","6","5","12:00","18.5","70.7","6"
"Porvoo Emäsalo","2024","6","5","13:00","18.8","67.3","5.9"
