"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]","Relative humidity mean [%]","Gust speed mean [m/s]"
"Rovaniemi railway station","2024","6","1","00:00","19.4","60.1","1.3"
"Rovaniemi railway station","2024","6","1","01:00","17.5","67.5","0.9"
"Rovaniemi railway station","2024","6","1","02:00","16.1","76.8","0.9"
"Rovaniemi railway station","2024","6","1","03:00","14.8","82.1","0.9"
"Rovaniemi railway station","2024","6","1","04:00","13.9","87","1.1"
"Rovaniemi railway station","2024","6","1","05:00","13.7","88.3","0.9"
"Rovaniemi railway station","2024","6","1","06:00","14.3","84.6","0.9"
"Rovaniemi railway station","2024","6","1","07:00","16.4","73.8","1.5"
"Rovaniemi railway station","2024","6","1","08:00","18.3","64.6","1.2"
"Rovaniemi railway station","2024","6","1","09:00","20.4","56.3","1.9"
"Rovaniemi railway station","2024","6","1","10:00","23.1","45.9","2.5"
"Rovaniemi railway station","2024","6","1","11:00","24.6","40.4","5.1"
"Rovaniemi railway station","2024","6","1","12:00","25.4","40.8","5.5"
"Rovaniemi railway station","2024","6","1","13:00","26.5","37.3","6.2"
"Rovaniemi railway station","2024","6","1","14:00","27.1","33.5","5.4"
"Rovaniemi railway station","2024","6","1","15:00","27.4","32.3","6.4"
"Rovaniemi railway station","2024","6","1","16:00","27.2","33.2","7.4"
"Rovaniemi railway station","2024","6","1","17:00","26.9","33.4","8.4"
"Rovaniemi railway station","2024","6","1","18:00","24.4","40.7","6.7"
"Rovaniemi railway station","2024","6","1","19:00","23.8","42.2","4.2"
"Rovaniemi railway station","2024","6","1","20:00","23.1","46.9","5.1"
"Rovaniemi railway station","2024","6","1","21:00","22.5","49.6","4.3"
"-","2024","6","1","22:00","-","-","-"
"Rovaniemi railway station","2024","6","1","23:00","20.2","62","4.1"
"Rovaniemi railway station","2024","6","2","00:00","18.6","69.4","4.1"
"Rovaniemi railway station","2024","6","2","01:00","17.3","76.4","3.7"
"Rovaniemi railway station","2024","6","2","02:00","16.3","81","2.7"
"Rovaniemi railway station","2024","6","2","03:00","15.7","84.1","2.2"
"Rovaniemi railway station","2024","6","2","04:00","14.8","88.2","2.4"
"Rovaniemi railway station","2024","6","2","05:00","14.6","88.5","3.7"
"Rovaniemi railway station","2024","6","2","06:00","15.9","82","4.2"
"Rovaniemi railway station","2024","6","2","07:00","17.1","76.7","4.7"
"Rovaniemi railway station","2024","6","2","08:00","18.6","70.3","5.3"
"Rovaniemi railway station","2024","6","2","09:00","20","62.1","5.6"
"Rovaniemi railway station","2024","6","2","10:00","21.6","56.2","4.1"
