"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]"
"Turku Rajakari","2024","6","1","00:00","20.3"
"Turku Rajakari","2024","6","1","01:00","19.7"
"Turku Rajakari","2024","6","1","02:00","19.5"
"Turku Rajakari","2024","6","1","03:00","19.1"
"Turku Rajakari","2024","6","1","04:00","18.7"
"Turku Rajakari","2024","6","1","05:00","17.8"
"Turku Rajakari","2024","6","1","06:00","17.6"
"Turku Rajakari","2024","6","1","07:00","17.9"
"Turku Rajakari","2024","6","1","08:00","18.5"
"Turku Rajakari","2024","6","1","09:00","19.9"
"Turku Rajakari","2024","6","1","10:00","21"
"Turku Rajakari","2024","6","1","11:00","22.2"
"Turku Rajakari","2024","6","1","12:00","23.5"
"Turku Rajakari","2024","6","1","13:00","25.3"
"Turku Rajakari","2024","6","1","14:00","25.8"
"Turku Rajakari","2024","6","1","15:00","25.3"
"Turku Rajakari","2024","6","1","16:00","24.1"
"Turku Rajakari","2024","6","1","17:00","23.5"
"Turku Rajakari","2024","6","1","18:00","20.6"
"Turku Rajakari","2024","6","1","19:00","19.8"
"Turku Rajakari","2024","6","1","20:00","19.8"
"Turku Rajakari","2024","6","1","21:00","20"
"Turku Rajakari","2024","6","1","22:00","19.9"
"Turku Rajakari","2024","6","1","23:00","19.5"
"Turku Rajakari","2024","6","2","00:00","19.6"
"Turku Rajakari","2024","6","2","01:00","19.3"
"Turku Rajakari","2024","6","2","02:00","19.1"
"Turku Rajakari","2024","6","2","03:00","18.7"
"Turku Rajakari","2024","6","2","04:00","18.3"
"Turku Rajakari","2024","6","2","05:00","17.8"
"Turku Rajakari","2024","6","2","06:00","17.5"
"Turku Rajakari","2024","6","2","07:00","17.6"
"Turku Rajakari","2024","6","2","08:00","18"
"Turku Rajakari","2024","6","2","09:00","18.2"
"Turku Rajakari","2024","6","2","10:00","17.8"
"Turku Rajakari","2024","6","2","11:00","17.5"
"Turku Rajakari","2024","6","2","12:00","18"
"Turku Rajakari","2024","6","2","13:00","18.7"
"Turku Rajakari","2024","6","2","14:00","17.5"
"Turku Rajakari","2024","6","2","15:00","18.2"
"Turku Rajakari","2024","6","2","16:00","19.6"
